Boat,Category,Club,Courses_Nat,Division,Name,Num_Courses,Points,Points_Club,Rank,Scratch,Year
C1H,S,Canoe Kayak Pontarlier,"
			2003		"
C1D,J,Lannion Canoe Kayak,"
			3		",niveau,LÉna Quemerais,"
			4		","
			189.36		",983,"
			148		","
			13		","
			2006		"
C1H,S,Kayak Club De Metz,"
			3		",niveau,Emilien Kempf,"
			4		","
			189.72		",898,"
			149		","
			43		","
			1993		"
K1D,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Youlia Estanguet,"
			4		","
			192.36		",898,"
			150		","
			30		","
			2003		"
K1H,S,Canoe Kayak Le Mas D'agenais,"
			3		",niveau,Loris Shayam Affre,"
			4		","
			192.4		",929,"
			151		","
			65		","
			2003		"
K1D,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Natacha Delassus,"
			4		","
			195.28		",895,"
			152		","
			31		","
			1999		"
C1H,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Tomy Dandonneau,"
			4		","
			196.22		",896,"
			153		","
			44		","
			2002		"
C1H,S,Etoile Amou Canoe Kayak,"
			3		",niveau,Emilien Courtiade,"
			4		","
			197		",894,"
			154		","
			45		","
			2004		"
K1H,J,Eyrieux Canoe Kayak,"
			3		",niveau,Jules Raoul,"
			4		","
			197.58		",988,"
			155		","
			66		","
			2006		"
C1D,S,Red Star Club Champigny,"
			3		",niveau,Nina Pesce-roue,"
			4		","
			198.72		",917,"
			156		","
			14		","
			2005		"
C1H,S,Les Castors Rislois Ck Pont-audemer,"
			3		",niveau,Louison Decarsin,"
			4		","
			199.38		",891,"
			157		","
			46		","
			2005		"
C1H,J,Golbey Epinal St Nabord,"
			3		",niveau,Antoine Guerne,"
			4		","
			199.97		",949,"
			158		","
			47		","
			2006		"
K1D,J,Muret Olympique C.k.,"
			3		",niveau,Camille Vuitton,"
			4		","
			200.2		",951,"
			159		","
			32		","
			2006		"
C1H,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Nicolas Scianimanico,"
			4		","
			200.4		",886,"
			160		","
			48		","
			1992		"
K1H,S,C.k. Chateau Thebaud,"
			3		",niveau,Max Derame,"
			4		","
			200.72		",926,"
			161		","
			67		","
			2003		"
K1H,S,Red Star Club Champigny,"
			3		",niveau,Amaury Brucher,"
			4		","
			200.82		",925,"
			162		","
			68		","
			2002		"
K1H,J,Red Star Club Champigny,"
			3		",niveau,Alois Brucher,"
			4		","
			201.22		",984,"
			163		","
			69		","
			2007		"
K1H,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Quentin Rival-negrevergne,"
			4		","
			201.52		",923,"
			164		","
			70		","
			2005		"
C1H,S,Val De L'indre Canoe Kayak,"
			3		",niveau,Terence Saramandif,"
			4		","
			203.76		",884,"
			165		","
			49		","
			2002		"
K1H,J,F.l.canoe Kayak Chalonnes,"
			3		",niveau,ClÉment Davy,"
			4		","
			205.14		",982,"
			166		","
			71		","
			2007		"
K1H,S,Club Canoe Kayak Vienne,"
			3		",niveau,Clement Couchoud,"
			4		","
			205.6		",921,"
			167		","
			72		","
			2003		"
K1D,J,Val De L'indre Canoe Kayak,"
			3		",niveau,Perrine Augu,"
			4		","
			207.04		",948,"
			168		","
			33		","
			2006		"
K1H,J,Amicale Laique Pontouvre,"
			3		",niveau,Niels Comte,"
			4		","
			207.34		",980,"
			169		","
			73		","
			2006		"
K1D,S,Angouleme Canoe Kayak,"
			3		",niveau,Perrine Joubert,"
			4		","
			208.21		",884,"
			170		","
			34		","
			2002		"
K1H,S,J.s.p.a. Mayenne,"
			3		",niveau,Alex Louveau,"
			4		","
			208.64		",919,"
			171		","
			74		","
			2001		"
C1H,J,Chambery Le Bourget Canoe Kayak,"
			3		",niveau,Ianis Triomphe,"
			4		","
			209.19		",941,"
			172		","
			50		","
			2006		"
K1H,S,Muret Olympique C.k.,"
			3		",niveau,Florian Malaval,"
			4		","
			210.12		",918,"
			173		","
			75		","
			2005		"
K1H,S,Club Loisirs Pop. Lochrist,"
			3		",niveau,Killian Flegeau,"
			4		","
			211.24		",916,"
			174		","
			76		","
			2000		"
K1H,J,Red Star Club Champigny,"
			3		",niveau,Valerian Descot,"
			4		","
			211.3		",975,"
			175		","
			77		","
			2007		"
C1H,J,Red Star Club Champigny,"
			3		",niveau,Alois Brucher,"
			4		","
			211.37		",939,"
			176		","
			51		","
			2007		"
K1H,J,Association Vezere Canoe Kayak,"
			3		",niveau,Felix Chevallier,"
			4		","
			211.62		",974,"
			177		","
			78		","
			2007		"
K1H,S,Pau Canoe-kayak Club Universitaire,"
			3		",niveau,Nino Langlume,"
			4		","
			211.81		",913,"
			178		","
			79		","
			2005		"
K1D,J,Torcy Canoe Kayak,"
			3		",niveau,Camille Brugvin,"
			4		","
			213.05		",941,"
			179		","
			35		","
			2006		"
C1H,S,Ancerville-bar Le Duc,"
			3		",niveau,Marvin Tulpin,"
			4		","
			214.27		",877,"
			180		","
			52		","
			2001		"
K1H,S,Golbey Epinal St Nabord,"
			3		",niveau,Joao Normand,"
			4		","
			214.47		",912,"
			181		","
			80		","
			2005		"
K1H,S,Canoe Kayak Du Pays De Broceliande,"
			3		",niveau,Rafael Lerusse,"
			4		","
			215.6		",911,"
			182		","
			81		","
			2003		"
K1D,S,Ckc Vallee De L'ain,"
			3		",niveau,Viviana Daille,"
			4		","
			215.8		",877,"
			183		","
			36		","
			1998		"
K1D,S,C.k.c. Beaurainvillois,"
			3		",niveau,Emma Pouilly,"
			4		","
			217.16		",874,"
			184		","
			37		","
			2005		"
K1H,J,C.k.c. Beaurainvillois,"
